algo,cap,seeds,ucb_valid_count,audit_false_issued,audit_ep_cp90_upper,audit_ep_cp95_upper,test_cost_mean,test_violation_rate,test_false_issued,test_ep_cp90_upper,test_ep_cp95_upper,test_episode_false,test_episode_yield,test_block_risk,test_block_yield,issued_steps_per_episode
cpq,1,3,0,4/300,0.0265,0.0303,0.9067+/-1.1463,0.0233+/-0.0321,7/300,0.0389,0.0434,0.0233+/-0.0321,1.0000+/-0.0000,0.0233+/-0.0321,0.0033+/-0.0000,1.0000+/-0.0000
cpq,4,3,0,4/300,0.0265,0.0303,0.9067+/-1.1463,0.0233+/-0.0321,7/300,0.0389,0.0434,0.0233+/-0.0321,1.0000+/-0.0000,0.0233+/-0.0321,0.0133+/-0.0000,4.0000+/-0.0000
cpq,8,3,0,4/300,0.0265,0.0303,0.9067+/-1.1463,0.0233+/-0.0321,7/300,0.0389,0.0434,0.0233+/-0.0321,1.0000+/-0.0000,0.0233+/-0.0321,0.0267+/-0.0000,8.0000+/-0.0000
