file,algo,env,seed,risk_quantile,method,block_risk,block_yield,block_realized_failure,episode_risk,episode_yield,episode_realized_failure,episode_count,episode_issued,episode_failures,mean_issued_blocks_per_episode
outputs\phase_dsrl_episode_capsweep_proxy_coptidice_car_q92_modelbest_seed20260624_server.json,coptidice,OfflineCarCircle-v0,20260624,0.92,accs_v0_support_safety,0.019982902329557597,0.7798333333333334,0.06858333333333333,0.4068965517241379,1.0,0.896551724137931,290,290,118,32.26896551724138
outputs\phase_dsrl_episode_capsweep_proxy_coptidice_car_q92_modelbest_seed20260625_server.json,coptidice,OfflineCarCircle-v0,20260625,0.92,accs_v0_support_safety,0.0210259797446059,0.757,0.07383333333333333,0.4379310344827586,1.0,0.8896551724137931,290,290,127,31.324137931034482
outputs\phase_dsrl_episode_capsweep_proxy_coptidice_car_q92_modelbest_seed20260626_server.json,coptidice,OfflineCarCircle-v0,20260626,0.92,accs_v0_support_safety,0.02398769861609431,0.8129166666666666,0.06483333333333334,0.4862068965517241,1.0,0.8689655172413793,290,290,141,33.63793103448276
outputs\phase_dsrl_episode_capsweep_proxy_coptidice_car_q92_modelbest_seed20260624_server.json,coptidice,OfflineCarCircle-v0,20260624,0.92,accs_v0_support_safety_episode_cap1,0.010344827586206896,0.024166666666666666,0.06258333333333334,0.010344827586206896,1.0,0.8413793103448276,290,290,3,1.0
outputs\phase_dsrl_episode_capsweep_proxy_coptidice_car_q92_modelbest_seed20260625_server.json,coptidice,OfflineCarCircle-v0,20260625,0.92,accs_v0_support_safety_episode_cap1,0.010344827586206896,0.024166666666666666,0.06825,0.010344827586206896,1.0,0.8448275862068966,290,290,3,1.0
outputs\phase_dsrl_episode_capsweep_proxy_coptidice_car_q92_modelbest_seed20260626_server.json,coptidice,OfflineCarCircle-v0,20260626,0.92,accs_v0_support_safety_episode_cap1,0.0,0.024166666666666666,0.05566666666666667,0.0,1.0,0.7689655172413793,290,290,0,1.0
outputs\phase_dsrl_episode_capsweep_proxy_coptidice_car_q92_modelbest_seed20260624_server.json,coptidice,OfflineCarCircle-v0,20260624,0.92,accs_v0_support_safety_episode_cap2,0.008620689655172414,0.04833333333333333,0.06266666666666666,0.017241379310344827,1.0,0.8413793103448276,290,290,5,2.0
outputs\phase_dsrl_episode_capsweep_proxy_coptidice_car_q92_modelbest_seed20260625_server.json,coptidice,OfflineCarCircle-v0,20260625,0.92,accs_v0_support_safety_episode_cap2,0.006896551724137931,0.04833333333333333,0.06833333333333333,0.013793103448275862,1.0,0.8448275862068966,290,290,4,2.0
outputs\phase_dsrl_episode_capsweep_proxy_coptidice_car_q92_modelbest_seed20260626_server.json,coptidice,OfflineCarCircle-v0,20260626,0.92,accs_v0_support_safety_episode_cap2,0.0,0.04833333333333333,0.05566666666666667,0.0,1.0,0.7689655172413793,290,290,0,2.0
outputs\phase_dsrl_episode_capsweep_proxy_coptidice_car_q92_modelbest_seed20260624_server.json,coptidice,OfflineCarCircle-v0,20260624,0.92,accs_v0_support_safety_episode_cap4,0.007758620689655172,0.09666666666666666,0.063,0.027586206896551724,1.0,0.8448275862068966,290,290,8,4.0
outputs\phase_dsrl_episode_capsweep_proxy_coptidice_car_q92_modelbest_seed20260625_server.json,coptidice,OfflineCarCircle-v0,20260625,0.92,accs_v0_support_safety_episode_cap4,0.007758620689655172,0.09666666666666666,0.06858333333333333,0.03103448275862069,1.0,0.8448275862068966,290,290,9,4.0
outputs\phase_dsrl_episode_capsweep_proxy_coptidice_car_q92_modelbest_seed20260626_server.json,coptidice,OfflineCarCircle-v0,20260626,0.92,accs_v0_support_safety_episode_cap4,0.00603448275862069,0.09666666666666666,0.056,0.020689655172413793,1.0,0.7724137931034483,290,290,6,4.0
outputs\phase_dsrl_episode_capsweep_proxy_coptidice_car_q92_modelbest_seed20260624_server.json,coptidice,OfflineCarCircle-v0,20260624,0.92,accs_v0_support_safety_episode_cap8,0.013793103448275862,0.19333333333333333,0.06325,0.09655172413793103,1.0,0.8413793103448276,290,290,28,8.0
outputs\phase_dsrl_episode_capsweep_proxy_coptidice_car_q92_modelbest_seed20260625_server.json,coptidice,OfflineCarCircle-v0,20260625,0.92,accs_v0_support_safety_episode_cap8,0.014224137931034483,0.19333333333333333,0.06908333333333333,0.09655172413793103,1.0,0.8482758620689655,290,290,28,8.0
outputs\phase_dsrl_episode_capsweep_proxy_coptidice_car_q92_modelbest_seed20260626_server.json,coptidice,OfflineCarCircle-v0,20260626,0.92,accs_v0_support_safety_episode_cap8,0.015517241379310345,0.19333333333333333,0.05725,0.09310344827586207,1.0,0.7827586206896552,290,290,27,8.0
outputs\phase_dsrl_episode_capsweep_proxy_coptidice_car_q92_modelbest_seed20260624_server.json,coptidice,OfflineCarCircle-v0,20260624,0.92,crc_style_safety_threshold,0.019982902329557597,0.7798333333333334,0.06858333333333333,0.4068965517241379,1.0,0.896551724137931,290,290,118,32.26896551724138
outputs\phase_dsrl_episode_capsweep_proxy_coptidice_car_q92_modelbest_seed20260625_server.json,coptidice,OfflineCarCircle-v0,20260625,0.92,crc_style_safety_threshold,0.02142235754675946,0.7663333333333333,0.07316666666666667,0.4689655172413793,1.0,0.8793103448275862,290,290,136,31.71034482758621
