algo,cap,seeds,ucb_valid_count,audit_false_issued,audit_ep_cp90_upper,audit_ep_cp95_upper,test_cost_mean,test_violation_rate,test_false_issued,test_ep_cp90_upper,test_ep_cp95_upper,test_episode_false,test_episode_yield,test_block_risk,test_block_yield,issued_steps_per_episode
coptidice,1,3,0,289/300,0.9765,0.9793,55.4000+/-3.6365,0.9800+/-0.0200,294/300,0.9895,0.9913,0.9800+/-0.0200,1.0000+/-0.0000,0.9800+/-0.0200,0.0037+/-0.0003,1.0000+/-0.0000
coptidice,4,3,0,289/300,0.9765,0.9793,55.4000+/-3.6365,0.9800+/-0.0200,294/300,0.9895,0.9913,0.9800+/-0.0200,1.0000+/-0.0000,0.9800+/-0.0200,0.0148+/-0.0011,4.0000+/-0.0000
coptidice,8,3,0,289/300,0.9765,0.9793,55.4000+/-3.6365,0.9800+/-0.0200,294/300,0.9895,0.9913,0.9800+/-0.0200,1.0000+/-0.0000,0.9800+/-0.0200,0.0297+/-0.0021,8.0000+/-0.0000
cpq,1,3,0,45/300,0.1798,0.1882,11.4900+/-7.8783,0.1533+/-0.0833,46/300,0.1834,0.1918,0.1533+/-0.0833,1.0000+/-0.0000,0.1533+/-0.0833,0.0249+/-0.0118,1.0000+/-0.0000
cpq,4,3,0,45/300,0.1798,0.1882,11.4900+/-7.8783,0.1533+/-0.0833,46/300,0.1834,0.1918,0.1533+/-0.0833,1.0000+/-0.0000,0.1533+/-0.0833,0.0995+/-0.0472,4.0000+/-0.0000
cpq,8,3,0,45/300,0.1798,0.1882,11.4900+/-7.8783,0.1533+/-0.0833,46/300,0.1834,0.1918,0.1533+/-0.0833,1.0000+/-0.0000,0.1533+/-0.0833,0.1991+/-0.0943,8.0000+/-0.0000
