env,env_id,algo,seeds,distinct_rules,selection_reasons,tune_false_issued,audit_false_issued,audit_ep_cp95_upper,test_cost_mean,test_violation_rate,test_false_issued,test_ep_cp90_upper,test_ep_cp95_upper,test_episode_false,test_episode_yield,test_block_risk,test_block_yield,issued_steps_per_episode,rule_signatures
Drone,OfflineDroneCircle-v0,coptidice,3,3,diagnostic_best_tune_tradeoff_no_valid_rule,119/127,173/186,0.9582,55.6678+/-1.8707,0.9600+/-0.0176,153/164,0.9568,0.9619,0.3110+/-0.5386,0.1822+/-0.3156,0.3147+/-0.5450,0.0100+/-0.0173,2.7600+/-4.7805,score_gate:variant=score:window=early:cap=1:tau=-3.94306 | score_gate:variant=score:window=early:cap=1:tau=-4.17436 | score_gate:variant=score:window=early:cap=64:tau=-1.02624
Drone,OfflineDroneCircle-v0,cpq,3,3,diagnostic_best_tune_tradeoff_no_valid_rule,0/4,4/5,0.9898,12.2978+/-8.9760,0.1578+/-0.1248,1/4,0.6795,0.7514,0.0833+/-0.1443,0.0044+/-0.0077,0.0417+/-0.0722,0.0003+/-0.0006,0.0089+/-0.0154,score_gate:variant=score:window=early:cap=1:tau=-211.71 | score_gate:variant=score:window=early:cap=1:tau=-79.2896 | score_gate:variant=score:window=mid:cap=8:tau=-7.62878
