algo,cap,seeds,ucb_valid_count,audit_false_issued,audit_ep_cp90_upper,audit_ep_cp95_upper,test_cost_mean,test_violation_rate,test_false_issued,test_ep_cp90_upper,test_ep_cp95_upper,test_episode_false,test_episode_yield,test_block_risk,test_block_yield,issued_steps_per_episode
coptidice,1,3,0,48/82,0.6589,0.6774,32.2778+/-9.6539,0.6333+/-0.1732,48/78,0.6894,0.7078,0.5899+/-0.2281,0.8667+/-0.1528,0.5899+/-0.2281,0.0029+/-0.0005,0.8667+/-0.1528
coptidice,4,3,0,48/82,0.6589,0.6774,32.2778+/-9.6539,0.6333+/-0.1732,48/78,0.6894,0.7078,0.5899+/-0.2281,0.8667+/-0.1528,0.5962+/-0.2303,0.0111+/-0.0021,3.3222+/-0.6336
coptidice,8,3,0,48/82,0.6589,0.6774,32.2778+/-9.6539,0.6333+/-0.1732,48/78,0.6894,0.7078,0.5899+/-0.2281,0.8667+/-0.1528,0.6177+/-0.2292,0.0189+/-0.0068,5.6667+/-2.0276
cpq,1,3,0,1/90,0.0425,0.0516,0.2222+/-0.3849,0.0000+/-0.0000,0/90,0.0253,0.0327,0.0000+/-0.0000,1.0000+/-0.0000,0.0000+/-0.0000,0.0033+/-0.0000,1.0000+/-0.0000
cpq,4,3,0,1/90,0.0425,0.0516,0.2222+/-0.3849,0.0000+/-0.0000,0/90,0.0253,0.0327,0.0000+/-0.0000,1.0000+/-0.0000,0.0000+/-0.0000,0.0133+/-0.0000,4.0000+/-0.0000
cpq,8,3,0,1/90,0.0425,0.0516,0.2222+/-0.3849,0.0000+/-0.0000,0/90,0.0253,0.0327,0.0000+/-0.0000,1.0000+/-0.0000,0.0000+/-0.0000,0.0267+/-0.0000,8.0000+/-0.0000
