env,env_id,algo,seeds,distinct_rules,selection_reasons,tune_false_issued,audit_false_issued,audit_ep_cp95_upper,test_cost_mean,test_violation_rate,test_false_issued,test_ep_cp90_upper,test_ep_cp95_upper,test_episode_false,test_episode_yield,test_block_risk,test_block_yield,issued_steps_per_episode,rule_signatures
Ball,OfflineBallCircle-v0,coptidice,3,3,diagnostic_best_tune_tradeoff_no_valid_rule,233/264,468/530,0.9053,33.7150+/-6.7151,0.8700+/-0.1130,466/525,0.9051,0.9096,0.8799+/-0.1071,0.8750+/-0.1097,0.8910+/-0.0940,0.3482+/-0.5644,69.6467+/-112.8894,first_cap:variant=none:window=prefix:cap=256:tau=none | score_gate:variant=neg_score:window=early:cap=16:tau=-1.59171 | score_gate:variant=neg_score:window=early:cap=16:tau=-1.81983
Ball,OfflineBallCircle-v0,cpq,3,1,tune_empirical_alpha_yield_valid,0/300,0/600,0.0050,0.0517+/-0.0895,0.0000+/-0.0000,0/600,0.0038,0.0050,0.0000+/-0.0000,1.0000+/-0.0000,0.0000+/-0.0000,1.0000+/-0.0000,200.0000+/-0.0000,first_cap:variant=none:window=prefix:cap=256:tau=none
Car,OfflineCarCircle-v0,coptidice,3,3,diagnostic_best_tune_tradeoff_no_valid_rule,54/129,128/292,0.4881,29.4500+/-11.5732,0.5933+/-0.1986,138/295,0.5068,0.5174,0.4598+/-0.1851,0.4917+/-0.0751,0.4046+/-0.1265,0.0255+/-0.0094,7.6367+/-2.8116,score_gate:variant=neg_score:window=early:cap=64:tau=-0.18809 | score_gate:variant=neg_score:window=mid:cap=64:tau=-0.446044 | score_gate:variant=score:window=mid:cap=64:tau=-0.0805265
Car,OfflineCarCircle-v0,cpq,3,1,tune_empirical_alpha_yield_valid,3/300,4/600,0.0152,1.0067+/-0.8391,0.0167+/-0.0176,10/600,0.0256,0.0281,0.0167+/-0.0176,1.0000+/-0.0000,0.0167+/-0.0176,1.0000+/-0.0000,300.0000+/-0.0000,first_cap:variant=none:window=prefix:cap=512:tau=none
Drone,OfflineDroneCircle-v0,coptidice,3,3,diagnostic_best_tune_tradeoff_no_valid_rule,222/230,461/472,0.9869,56.5000+/-1.3591,0.9650+/-0.0278,437/455,0.9717,0.9743,0.9536+/-0.0383,0.7583+/-0.2100,0.9674+/-0.0241,0.3499+/-0.5631,99.6067+/-161.3054,first_cap:variant=none:window=prefix:cap=512:tau=none | score_gate:variant=score:window=early:cap=32:tau=-1.13959 | score_gate:variant=score:window=mid:cap=32:tau=-2.41307
Drone,OfflineDroneCircle-v0,cpq,3,3,diagnostic_best_tune_tradeoff_no_valid_rule;tune_empirical_alpha_yield_valid,16/197,31/397,0.1039,13.0033+/-12.2900,0.1567+/-0.1457,32/395,0.1015,0.1073,0.0965+/-0.0669,0.6583+/-0.5365,0.1159+/-0.0987,0.4841+/-0.4825,17.0833+/-14.7102,first_cap:variant=none:window=prefix:cap=128:tau=none | score_gate:variant=score:window=all:cap=512:tau=-0.362241 | score_gate:variant=score:window=early:cap=16:tau=-8.0392
