algo,cap,seeds,ucb_valid_count,audit_false_issued,audit_ep_cp90_upper,audit_ep_cp95_upper,test_cost_mean,test_violation_rate,test_false_issued,test_ep_cp90_upper,test_ep_cp95_upper,test_episode_false,test_episode_yield,test_block_risk,test_block_yield,issued_steps_per_episode
coptidice,1,3,0,142/238,0.6388,0.6499,30.5133+/-10.4128,0.6167+/-0.1674,131/231,0.6105,0.6220,0.5979+/-0.1582,0.7700+/-0.2524,0.5979+/-0.1582,0.0026+/-0.0008,0.7700+/-0.2524
coptidice,4,3,0,142/238,0.6388,0.6499,30.5133+/-10.4128,0.6167+/-0.1674,131/231,0.6105,0.6220,0.5979+/-0.1582,0.7700+/-0.2524,0.5987+/-0.1534,0.0100+/-0.0034,2.9933+/-1.0155
coptidice,8,3,0,142/238,0.6388,0.6499,30.5133+/-10.4128,0.6167+/-0.1674,131/231,0.6105,0.6220,0.5979+/-0.1582,0.7700+/-0.2524,0.6241+/-0.1283,0.0185+/-0.0073,5.5433+/-2.2039
