algo,cap,seeds,ucb_valid_count,audit_false_issued,audit_ep_cp90_upper,audit_ep_cp95_upper,test_cost_mean,test_violation_rate,test_false_issued,test_ep_cp90_upper,test_ep_cp95_upper,test_episode_false,test_episode_yield,test_block_risk,test_block_yield,issued_steps_per_episode
coptidice,1,3,0,253/300,0.8701,0.8769,33.5433+/-6.4314,0.8533+/-0.1320,256/300,0.8793,0.8859,0.8533+/-0.1320,1.0000+/-0.0000,0.8533+/-0.1320,0.0050+/-0.0000,1.0000+/-0.0000
coptidice,4,3,0,253/300,0.8701,0.8769,33.5433+/-6.4314,0.8533+/-0.1320,256/300,0.8793,0.8859,0.8533+/-0.1320,1.0000+/-0.0000,0.8533+/-0.1320,0.0200+/-0.0000,4.0000+/-0.0000
coptidice,8,3,0,253/300,0.8701,0.8769,33.5433+/-6.4314,0.8533+/-0.1320,256/300,0.8793,0.8859,0.8533+/-0.1320,1.0000+/-0.0000,0.8533+/-0.1320,0.0400+/-0.0000,8.0000+/-0.0000
cpq,1,3,0,0/300,0.0076,0.0099,0.0567+/-0.0981,0.0000+/-0.0000,0/300,0.0076,0.0099,0.0000+/-0.0000,1.0000+/-0.0000,0.0000+/-0.0000,0.0050+/-0.0000,1.0000+/-0.0000
cpq,4,3,0,0/300,0.0076,0.0099,0.0567+/-0.0981,0.0000+/-0.0000,0/300,0.0076,0.0099,0.0000+/-0.0000,1.0000+/-0.0000,0.0000+/-0.0000,0.0200+/-0.0000,4.0000+/-0.0000
cpq,8,3,0,0/300,0.0076,0.0099,0.0567+/-0.0981,0.0000+/-0.0000,0/300,0.0076,0.0099,0.0000+/-0.0000,1.0000+/-0.0000,0.0000+/-0.0000,0.0400+/-0.0000,8.0000+/-0.0000
