env,env_id,algo,cap,seeds,audit_false_issued,audit_ep_cp90_upper,audit_ep_cp95_upper,test_cost_mean,test_violation_rate,test_false_issued,test_ep_cp90_upper,test_ep_cp95_upper,test_episode_false,test_episode_yield,test_block_risk,test_block_yield,issued_steps_per_episode
Car,OfflineCarCircle-v0,coptidice,32,3,366/600,0.6361,0.6431,28.9283+/-12.7038,0.6017+/-0.2070,361/600,0.6278,0.6349,0.6017+/-0.2070,1.0000+/-0.0000,0.6017+/-0.2070,0.1067+/-0.0000,32.0000+/-0.0000
Car,OfflineCarCircle-v0,coptidice,64,3,366/600,0.6361,0.6431,28.9283+/-12.7038,0.6017+/-0.2070,361/600,0.6278,0.6349,0.6017+/-0.2070,1.0000+/-0.0000,0.6017+/-0.2070,0.2133+/-0.0000,64.0000+/-0.0000
Car,OfflineCarCircle-v0,cpq,1,3,14/600,0.0334,0.0362,1.2783+/-0.7571,0.0167+/-0.0126,10/600,0.0256,0.0281,0.0167+/-0.0126,1.0000+/-0.0000,0.0167+/-0.0126,0.0033+/-0.0000,1.0000+/-0.0000
Car,OfflineCarCircle-v0,cpq,2,3,14/600,0.0334,0.0362,1.2783+/-0.7571,0.0167+/-0.0126,10/600,0.0256,0.0281,0.0167+/-0.0126,1.0000+/-0.0000,0.0167+/-0.0126,0.0067+/-0.0000,2.0000+/-0.0000
Car,OfflineCarCircle-v0,cpq,4,3,14/600,0.0334,0.0362,1.2783+/-0.7571,0.0167+/-0.0126,10/600,0.0256,0.0281,0.0167+/-0.0126,1.0000+/-0.0000,0.0167+/-0.0126,0.0133+/-0.0000,4.0000+/-0.0000
Car,OfflineCarCircle-v0,cpq,8,3,14/600,0.0334,0.0362,1.2783+/-0.7571,0.0167+/-0.0126,10/600,0.0256,0.0281,0.0167+/-0.0126,1.0000+/-0.0000,0.0167+/-0.0126,0.0267+/-0.0000,8.0000+/-0.0000
Car,OfflineCarCircle-v0,cpq,16,3,14/600,0.0334,0.0362,1.2783+/-0.7571,0.0167+/-0.0126,10/600,0.0256,0.0281,0.0167+/-0.0126,1.0000+/-0.0000,0.0167+/-0.0126,0.0533+/-0.0000,16.0000+/-0.0000
Car,OfflineCarCircle-v0,cpq,32,3,14/600,0.0334,0.0362,1.2783+/-0.7571,0.0167+/-0.0126,10/600,0.0256,0.0281,0.0167+/-0.0126,1.0000+/-0.0000,0.0167+/-0.0126,0.1067+/-0.0000,32.0000+/-0.0000
Car,OfflineCarCircle-v0,cpq,64,3,14/600,0.0334,0.0362,1.2783+/-0.7571,0.0167+/-0.0126,10/600,0.0256,0.0281,0.0167+/-0.0126,1.0000+/-0.0000,0.0167+/-0.0126,0.2133+/-0.0000,64.0000+/-0.0000
Drone,OfflineDroneCircle-v0,coptidice,1,3,581/600,0.9771,0.9792,55.8967+/-2.8542,0.9683+/-0.0225,581/600,0.9771,0.9792,0.9683+/-0.0225,1.0000+/-0.0000,0.9683+/-0.0225,0.0037+/-0.0002,1.0000+/-0.0000
Drone,OfflineDroneCircle-v0,coptidice,2,3,581/600,0.9771,0.9792,55.8967+/-2.8542,0.9683+/-0.0225,581/600,0.9771,0.9792,0.9683+/-0.0225,1.0000+/-0.0000,0.9683+/-0.0225,0.0074+/-0.0004,2.0000+/-0.0000
Drone,OfflineDroneCircle-v0,coptidice,4,3,581/600,0.9771,0.9792,55.8967+/-2.8542,0.9683+/-0.0225,581/600,0.9771,0.9792,0.9683+/-0.0225,1.0000+/-0.0000,0.9683+/-0.0225,0.0147+/-0.0007,4.0000+/-0.0000
Drone,OfflineDroneCircle-v0,coptidice,8,3,581/600,0.9771,0.9792,55.8967+/-2.8542,0.9683+/-0.0225,581/600,0.9771,0.9792,0.9683+/-0.0225,1.0000+/-0.0000,0.9683+/-0.0225,0.0294+/-0.0014,8.0000+/-0.0000
Drone,OfflineDroneCircle-v0,coptidice,16,3,581/600,0.9771,0.9792,55.8967+/-2.8542,0.9683+/-0.0225,581/600,0.9771,0.9792,0.9683+/-0.0225,1.0000+/-0.0000,0.9683+/-0.0225,0.0589+/-0.0029,16.0000+/-0.0000
Drone,OfflineDroneCircle-v0,coptidice,32,3,581/600,0.9771,0.9792,55.8967+/-2.8542,0.9683+/-0.0225,581/600,0.9771,0.9792,0.9683+/-0.0225,1.0000+/-0.0000,0.9683+/-0.0225,0.1178+/-0.0057,32.0000+/-0.0000
Drone,OfflineDroneCircle-v0,coptidice,64,3,581/600,0.9771,0.9792,55.8967+/-2.8542,0.9683+/-0.0225,581/600,0.9771,0.9792,0.9683+/-0.0225,1.0000+/-0.0000,0.9690+/-0.0215,0.2352+/-0.0114,63.8917+/-0.1876
Drone,OfflineDroneCircle-v0,cpq,1,3,94/600,0.1774,0.1832,15.3033+/-14.1610,0.1450+/-0.1126,87/600,0.1651,0.1708,0.1450+/-0.1126,1.0000+/-0.0000,0.1450+/-0.1126,0.0229+/-0.0127,1.0000+/-0.0000
Drone,OfflineDroneCircle-v0,cpq,2,3,94/600,0.1774,0.1832,15.3033+/-14.1610,0.1450+/-0.1126,87/600,0.1651,0.1708,0.1450+/-0.1126,1.0000+/-0.0000,0.1450+/-0.1126,0.0457+/-0.0254,2.0000+/-0.0000
Drone,OfflineDroneCircle-v0,cpq,4,3,94/600,0.1774,0.1832,15.3033+/-14.1610,0.1450+/-0.1126,87/600,0.1651,0.1708,0.1450+/-0.1126,1.0000+/-0.0000,0.1450+/-0.1126,0.0915+/-0.0508,4.0000+/-0.0000
Drone,OfflineDroneCircle-v0,cpq,8,3,94/600,0.1774,0.1832,15.3033+/-14.1610,0.1450+/-0.1126,87/600,0.1651,0.1708,0.1450+/-0.1126,1.0000+/-0.0000,0.1450+/-0.1126,0.1829+/-0.1017,7.9983+/-0.0029
Drone,OfflineDroneCircle-v0,cpq,16,3,94/600,0.1774,0.1832,15.3033+/-14.1610,0.1450+/-0.1126,87/600,0.1651,0.1708,0.1450+/-0.1126,1.0000+/-0.0000,0.1509+/-0.1140,0.3386+/-0.1728,15.0483+/-0.6558
Drone,OfflineDroneCircle-v0,cpq,32,3,94/600,0.1774,0.1832,15.3033+/-14.1610,0.1450+/-0.1126,87/600,0.1651,0.1708,0.1450+/-0.1126,1.0000+/-0.0000,0.1669+/-0.1183,0.5501+/-0.1916,25.7983+/-4.7325
Drone,OfflineDroneCircle-v0,cpq,64,3,94/600,0.1774,0.1832,15.3033+/-14.1610,0.1450+/-0.1126,87/600,0.1651,0.1708,0.1450+/-0.1126,1.0000+/-0.0000,0.2163+/-0.1416,0.7611+/-0.1594,37.6100+/-12.0112
