file,env,seed,checkpoint_tag,risk_quantile,proposal_samples,candidate_false,top_false,selection_gap,none_reward,global_risk,global_yield,reward_bin_risk,reward_bin_yield,crc_risk,crc_yield,crc_reward,accs_risk,accs_yield,accs_reward,action_match_mean,action_match_median
outputs\phase_dsrl_cpq_checkpoint_10k_q92_modelbest_seed20260624_server.json,OfflineCarCircle-v0,20260624,model_best,0.92,96,0.06677864583333333,0.07408333333333333,0.007304687500000004,0.6102014780044556,0.0,0.0755,0.01062648691514671,0.5254166666666666,0.025915722885419854,0.81675,0.5997528433799744,0.020627236371290256,0.7918333333333333,0.5989097356796265,0.061200711876153946,0.02497108280658722
outputs\phase_dsrl_cpq_checkpoint_10k_q93_model_seed20260624_server.json,OfflineCarCircle-v0,20260624,model,0.93,96,0.042830729166666665,0.049166666666666664,0.0063359374999999996,0.6166666746139526,0.0,0.03375,0.01662621359223301,0.6866666666666666,0.02551584377302874,0.9046666666666666,0.6101849675178528,0.020341660906487608,0.8439166666666666,0.6072487235069275,0.06712189316749573,0.027325686067342758
outputs\phase_dsrl_cpq_checkpoint_10k_q93_modelbest_seed20260624_server.json,OfflineCarCircle-v0,20260624,model_best,0.93,96,0.042333333333333334,0.04816666666666667,0.005833333333333336,0.6102014780044556,0.0,0.0755,0.014205607476635514,0.66875,0.02332415059687787,0.9075,0.6032341718673706,0.020981030848821615,0.8698333333333333,0.6017153263092041,0.061200711876153946,0.02497108280658722
