algo,cap,seeds,ucb_valid_count,audit_false_issued,audit_ep_cp90_upper,audit_ep_cp95_upper,test_cost_mean,test_violation_rate,test_false_issued,test_ep_cp90_upper,test_ep_cp95_upper,test_episode_false,test_episode_yield,test_block_risk,test_block_yield,issued_steps_per_episode
coptidice,1,3,0,169/300,0.6013,0.6115,30.9267+/-11.0157,0.6267+/-0.1767,188/300,0.6634,0.6732,0.6267+/-0.1767,1.0000+/-0.0000,0.6267+/-0.1767,0.0033+/-0.0000,1.0000+/-0.0000
coptidice,4,3,0,169/300,0.6013,0.6115,30.9267+/-11.0157,0.6267+/-0.1767,188/300,0.6634,0.6732,0.6267+/-0.1767,1.0000+/-0.0000,0.6267+/-0.1767,0.0133+/-0.0000,4.0000+/-0.0000
coptidice,8,3,0,169/300,0.6013,0.6115,30.9267+/-11.0157,0.6267+/-0.1767,188/300,0.6634,0.6732,0.6267+/-0.1767,1.0000+/-0.0000,0.6267+/-0.1767,0.0267+/-0.0000,8.0000+/-0.0000
cpq,1,3,0,1/300,0.0129,0.0157,1.1233+/-0.8701,0.0167+/-0.0153,5/300,0.0307,0.0347,0.0167+/-0.0153,1.0000+/-0.0000,0.0167+/-0.0153,0.0033+/-0.0000,1.0000+/-0.0000
cpq,4,3,0,1/300,0.0129,0.0157,1.1233+/-0.8701,0.0167+/-0.0153,5/300,0.0307,0.0347,0.0167+/-0.0153,1.0000+/-0.0000,0.0167+/-0.0153,0.0133+/-0.0000,4.0000+/-0.0000
cpq,8,3,0,1/300,0.0129,0.0157,1.1233+/-0.8701,0.0167+/-0.0153,5/300,0.0307,0.0347,0.0167+/-0.0153,1.0000+/-0.0000,0.0167+/-0.0153,0.0267+/-0.0000,8.0000+/-0.0000
