file,risk_quantile,reward_risk_bonus,reward_support_bonus,candidate_false,top_false,selection_gap,none_original_risk,none_original_yield,none_original_reward,global_candidate_cp_risk,global_candidate_cp_yield,global_candidate_cp_reward,reward_bin_ucb_20_risk,reward_bin_ucb_20_yield,reward_bin_ucb_20_reward,rank_bin_ucb_risk,rank_bin_ucb_yield,rank_bin_ucb_reward,crc_risk,crc_yield,crc_reward,accs_v0_support_risk,accs_v0_support_yield,accs_v0_support_reward,oracle_residual_label_risk,oracle_residual_label_yield,oracle_residual_label_reward
phase_dsrl_car_capsstyle_grid_q0p92_risk0p25_support0p00_alpha0p05_gamma0p05.json,0.92,0.25,0.0,0.06318619791666667,0.09633333333333334,0.03314713541666667,0.09633333333333334,1.0,0.6686664819717407,0.0,0.08975,0.6074648499488831,0.05135595440848945,0.6360833333333333,0.6236021518707275,0.01925,1.0,0.5092944502830505,0.02003168854685378,0.7363333333333333,0.6365041732788086,0.01619234543670265,0.6793333333333333,0.6331855654716492,0.0,1.0,0.6683956980705261
phase_dsrl_car_capsstyle_grid_q0p92_risk0p25_support0p10_alpha0p05_gamma0p05.json,0.92,0.25,0.1,0.06373567708333333,0.10008333333333333,0.03634765625,0.10008333333333333,1.0,0.6702990531921387,0.001851851851851852,0.09,0.5860360264778137,0.0370873786407767,0.42916666666666664,0.6089168787002563,0.021333333333333333,1.0,0.4917038679122925,0.02070082109402105,0.7205833333333334,0.6364701986312866,0.019081272084805655,0.7075,0.6351715326309204,0.0,1.0,0.6697278618812561
phase_dsrl_car_capsstyle_grid_q0p92_risk0p5_support0p00_alpha0p05_gamma0p05.json,0.92,0.5,0.0,0.06318619791666667,0.09775,0.03456380208333333,0.09775,1.0,0.6176193952560425,0.07957650273224044,0.976,0.6120099425315857,0.04478497281265447,0.8429166666666666,0.5794836282730103,0.029916666666666668,1.0,0.49530285596847534,0.01647822949242242,0.6928333333333333,0.5780021548271179,0.015294417537598776,0.6538333333333334,0.5751622915267944,0.0,1.0,0.6173129677772522
phase_dsrl_car_capsstyle_grid_q0p92_risk0p5_support0p10_alpha0p05_gamma0p05.json,0.92,0.5,0.1,0.06373567708333333,0.09841666666666667,0.034680989583333335,0.09841666666666667,1.0,0.617117702960968,0.08398120461341307,0.9754166666666667,0.610683262348175,0.05076787635723369,0.8519166666666667,0.5762456655502319,0.022083333333333333,1.0,0.44776591658592224,0.021741644500983,0.7205833333333334,0.5807690620422363,0.017115851322007918,0.6524166666666666,0.5766849517822266,0.0,1.0,0.6165514588356018
phase_dsrl_car_capsstyle_grid_q0p92_risk0p75_support0p00_alpha0p05_gamma0p05.json,0.92,0.75,0.0,0.06318619791666667,0.0975,0.03431380208333333,0.0975,1.0,0.5769630074501038,0.07889344262295082,0.976,0.5709392428398132,0.03681340085703155,0.8556666666666667,0.5346117615699768,0.019166666666666665,1.0,0.42641374468803406,0.016237671397642532,0.6928333333333333,0.5338468551635742,0.014784603619678817,0.6538333333333334,0.5309111475944519,0.0,1.0,0.5766249895095825
phase_dsrl_car_capsstyle_grid_q0p92_risk0p75_support0p10_alpha0p05_gamma0p05.json,0.92,0.75,0.1,0.06373567708333333,0.09925,0.035514322916666674,0.09925,1.0,0.5751785039901733,0.08423750533959846,0.9754166666666667,0.5685521364212036,0.03965702036441586,0.85525,0.5308800935745239,0.022083333333333333,1.0,0.4130886197090149,0.0199057714958775,0.7075,0.5360077619552612,0.016860390854515264,0.6524166666666666,0.5332950949668884,0.0,1.0,0.5746160745620728
phase_dsrl_car_capsstyle_grid_q0p93_risk0p25_support0p00_alpha0p05_gamma0p05.json,0.93,0.25,0.0,0.04065494791666667,0.065,0.024345052083333332,0.065,1.0,0.6686664819717407,0.0,0.08975,0.6074648499488831,0.04476899579992363,0.873,0.6428165435791016,0.02808333333333333,1.0,0.5878371596336365,0.02277880849309421,0.8085,0.6399602890014648,0.015569250729808628,0.77075,0.637502133846283,0.0,1.0,0.668489933013916
phase_dsrl_car_capsstyle_grid_q0p93_risk0p25_support0p10_alpha0p05_gamma0p05.json,0.93,0.25,0.1,0.04127083333333333,0.06458333333333334,0.023312500000000007,0.06458333333333334,1.0,0.6702990531921387,0.001851851851851852,0.09,0.5860360264778137,0.04988257397839361,0.8870833333333333,0.6414303183555603,0.025083333333333332,1.0,0.5822916626930237,0.023455259351105602,0.8065,0.6396015882492065,0.017224569385765356,0.76925,0.6374351382255554,0.0,1.0,0.6699995994567871
phase_dsrl_car_capsstyle_grid_q0p93_risk0p5_support0p00_alpha0p05_gamma0p05.json,0.93,0.5,0.0,0.04065494791666667,0.06533333333333333,0.024678385416666657,0.06533333333333333,1.0,0.6176193952560425,0.06533333333333333,1.0,0.6176193952560425,0.03785948307244266,0.9156666666666666,0.5930549502372742,0.024916666666666667,1.0,0.5399335026741028,0.017913262099308613,0.7955,0.5836024284362793,0.01567737052654341,0.77075,0.5817829370498657,0.0,1.0,0.6174392104148865
phase_dsrl_car_capsstyle_grid_q0p93_risk0p5_support0p10_alpha0p05_gamma0p05.json,0.93,0.5,0.1,0.04127083333333333,0.06333333333333334,0.022062500000000006,0.06333333333333334,1.0,0.617117702960968,0.06045107738744026,0.9939166666666667,0.6157288551330566,0.03398058252427184,0.8926666666666667,0.5831530690193176,0.02725,1.0,0.5245037078857422,0.019943318988138975,0.7939166666666667,0.5829160213470459,0.01776622251110389,0.76925,0.5815088152885437,0.0,1.0,0.6168379783630371
phase_dsrl_car_capsstyle_grid_q0p93_risk0p75_support0p00_alpha0p05_gamma0p05.json,0.93,0.75,0.0,0.04065494791666667,0.06466666666666666,0.024011718749999994,0.06466666666666666,1.0,0.5769630074501038,0.06466666666666666,1.0,0.5769630074501038,0.025321386832878847,0.8556666666666667,0.5346117615699768,0.028,1.0,0.4916920065879822,0.017808506180599204,0.7955,0.5398005247116089,0.015569250729808628,0.77075,0.537835955619812,0.0,1.0,0.5767762660980225
phase_dsrl_car_capsstyle_grid_q0p93_risk0p75_support0p10_alpha0p05_gamma0p05.json,0.93,0.75,0.1,0.04127083333333333,0.06358333333333334,0.022312500000000006,0.06358333333333334,1.0,0.5751785039901733,0.06053492076800537,0.9939166666666667,0.5739117860794067,0.02679528403001072,0.85525,0.5308800935745239,0.02825,1.0,0.48169010877609253,0.019838354151359296,0.7939166666666667,0.5391221046447754,0.017982883761239302,0.76925,0.5377203226089478,0.0,1.0,0.5749126076698303
phase_dsrl_car_capsstyle_grid_q0p94_risk0p25_support0p00_alpha0p05_gamma0p05.json,0.94,0.25,0.0,0.04065494791666667,0.065,0.024345052083333332,0.065,1.0,0.6686664819717407,0.0,0.08975,0.6074648499488831,0.04476899579992363,0.873,0.6428165435791016,0.02808333333333333,1.0,0.5878371596336365,0.02277880849309421,0.8085,0.6399602890014648,0.015569250729808628,0.77075,0.637502133846283,0.0,1.0,0.668489933013916
phase_dsrl_car_capsstyle_grid_q0p94_risk0p25_support0p10_alpha0p05_gamma0p05.json,0.94,0.25,0.1,0.04127083333333333,0.06458333333333334,0.023312500000000007,0.06458333333333334,1.0,0.6702990531921387,0.001851851851851852,0.09,0.5860360264778137,0.04988257397839361,0.8870833333333333,0.6414303183555603,0.025083333333333332,1.0,0.5822916626930237,0.023455259351105602,0.8065,0.6396015882492065,0.017224569385765356,0.76925,0.6374351382255554,0.0,1.0,0.6699995994567871
phase_dsrl_car_capsstyle_grid_q0p94_risk0p5_support0p00_alpha0p05_gamma0p05.json,0.94,0.5,0.0,0.04065494791666667,0.06533333333333333,0.024678385416666657,0.06533333333333333,1.0,0.6176193952560425,0.06533333333333333,1.0,0.6176193952560425,0.03785948307244266,0.9156666666666666,0.5930549502372742,0.024916666666666667,1.0,0.5399335026741028,0.017913262099308613,0.7955,0.5836024284362793,0.01567737052654341,0.77075,0.5817829370498657,0.0,1.0,0.6174392104148865
phase_dsrl_car_capsstyle_grid_q0p94_risk0p5_support0p10_alpha0p05_gamma0p05.json,0.94,0.5,0.1,0.04127083333333333,0.06333333333333334,0.022062500000000006,0.06333333333333334,1.0,0.617117702960968,0.06045107738744026,0.9939166666666667,0.6157288551330566,0.03398058252427184,0.8926666666666667,0.5831530690193176,0.02725,1.0,0.5245037078857422,0.019943318988138975,0.7939166666666667,0.5829160213470459,0.01776622251110389,0.76925,0.5815088152885437,0.0,1.0,0.6168379783630371
phase_dsrl_car_capsstyle_grid_q0p94_risk0p75_support0p00_alpha0p05_gamma0p05.json,0.94,0.75,0.0,0.04065494791666667,0.06466666666666666,0.024011718749999994,0.06466666666666666,1.0,0.5769630074501038,0.06466666666666666,1.0,0.5769630074501038,0.025321386832878847,0.8556666666666667,0.5346117615699768,0.028,1.0,0.4916920065879822,0.017808506180599204,0.7955,0.5398005247116089,0.015569250729808628,0.77075,0.537835955619812,0.0,1.0,0.5767762660980225
phase_dsrl_car_capsstyle_grid_q0p94_risk0p75_support0p10_alpha0p05_gamma0p05.json,0.94,0.75,0.1,0.04127083333333333,0.06358333333333334,0.022312500000000006,0.06358333333333334,1.0,0.5751785039901733,0.06053492076800537,0.9939166666666667,0.5739117860794067,0.02679528403001072,0.85525,0.5308800935745239,0.02825,1.0,0.48169010877609253,0.019838354151359296,0.7939166666666667,0.5391221046447754,0.017982883761239302,0.76925,0.5377203226089478,0.0,1.0,0.5749126076698303
