env,env_id,algo,seeds,distinct_rules,selection_reasons,tune_false_issued,audit_false_issued,audit_ep_cp95_upper,test_cost_mean,test_violation_rate,test_false_issued,test_ep_cp90_upper,test_ep_cp95_upper,test_episode_false,test_episode_yield,test_block_risk,test_block_yield,issued_steps_per_episode,rule_signatures
Drone,OfflineDroneCircle-v0,coptidice,3,3,diagnostic_best_tune_tradeoff_no_valid_rule,242/253,402/420,0.9721,55.8833+/-1.7153,0.9711+/-0.0126,366/377,0.9813,0.9836,0.9712+/-0.0194,0.4189+/-0.1996,0.9686+/-0.0303,0.0052+/-0.0033,1.4300+/-0.9737,score_gate:variant=neg_score:window=early:cap=16:tau=-0.505382 | score_gate:variant=neg_score:window=mid:cap=8:tau=-1.09159 | score_gate:variant=neg_score:window=mid:cap=8:tau=-1.25641
Drone,OfflineDroneCircle-v0,cpq,3,3,diagnostic_best_tune_tradeoff_no_valid_rule;tune_empirical_alpha_yield_valid,22/388,32/581,0.0733,15.0933+/-13.3142,0.1722+/-0.1592,54/581,0.1103,0.1152,0.1740+/-0.1552,0.6456+/-0.5516,0.2229+/-0.1234,0.4739+/-0.4878,16.7822+/-14.5389,first_cap:variant=none:window=prefix:cap=128:tau=none | score_gate:variant=score:window=all:cap=128:tau=-0.384323 | score_gate:variant=score:window=early:cap=2:tau=-12.6097
